n,loss,fth,run,tcp_variant,delack,conv_ack_bytes,conv_ack_packets,qicaaf_confirm_bytes,qicaaf_confirm_packets,data_complete_count,confirmed_count,fidelity,global_confirmed,confirm_time_ms,tcp_data_bytes_fwd,tcp_data_packets_fwd
100,0.01,0.9,2,ns3::TcpLinuxReno,2,16848,316,3208,100,100,100,1,1,14.0616,73640,404
100,0.01,0.9,3,ns3::TcpLinuxReno,2,16648,312,3208,100,100,98,0.98,1,14.0616,73244,406
100,0.01,0.9,4,ns3::TcpLinuxReno,2,16988,319,3208,100,100,99,0.99,1,14.0616,72456,401
100,0.01,0.9,5,ns3::TcpLinuxReno,2,17064,320,3208,100,100,100,1,1,14.0616,74428,409
100,0.01,0.9,6,ns3::TcpLinuxReno,2,16416,308,3208,100,100,99,0.99,1,14.0616,72964,401
100,0.01,0.9,7,ns3::TcpLinuxReno,2,17272,324,3208,100,100,99,0.99,1,14.0616,74260,406
100,0.01,0.9,8,ns3::TcpLinuxReno,2,16936,318,3208,100,100,100,1,1,14.0616,73528,402
100,0.01,0.9,9,ns3::TcpLinuxReno,2,16000,300,3208,100,100,99,0.99,1,14.0616,72456,401
100,0.01,0.9,10,ns3::TcpLinuxReno,2,16744,314,3208,100,100,99,0.99,1,14.0616,72568,403
100,0.05,0.9,1,ns3::TcpLinuxReno,2,17848,335,3208,100,100,90,0.9,1,6014.06,76120,412
100,0.05,0.9,2,ns3::TcpLinuxReno,2,18648,350,3208,100,100,98,0.98,1,3014.06,75724,414
100,0.05,0.9,3,ns3::TcpLinuxReno,2,16928,317,3176,99,99,96,0.96,1,3014.06,74712,414
100,0.05,0.9,4,ns3::TcpLinuxReno,2,18856,354,3208,100,100,97,0.97,1,3014.06,77640,421
100,0.05,0.9,5,ns3::TcpLinuxReno,2,17500,328,3112,97,97,95,0.95,1,3014.06,75792,415
100,0.05,0.9,6,ns3::TcpLinuxReno,2,19056,358,3208,100,100,97,0.97,1,3014.06,75724,414
100,0.05,0.9,7,ns3::TcpLinuxReno,2,18084,339,3144,98,98,91,0.91,1,3014.06,76464,418
100,0.05,0.9,8,ns3::TcpLinuxReno,2,18044,339,3176,99,99,97,0.97,1,1014.06,77028,410
100,0.05,0.9,9,ns3::TcpLinuxReno,2,18428,346,3208,100,100,96,0.96,1,3014.06,75272,415
100,0.05,0.9,10,ns3::TcpLinuxReno,2,17176,322,3208,100,100,96,0.96,1,1014.06,73864,408
100,0.1,0.9,1,ns3::TcpLinuxReno,2,20532,386,3144,98,98,81,0.81,0,0,78212,422
100,0.1,0.9,2,ns3::TcpLinuxReno,2,19636,369,3048,95,95,89,0.89,0,0,75628,421
100,0.1,0.9,3,ns3::TcpLinuxReno,2,19588,367,3112,97,97,90,0.9,1,3014.06,75112,421
100,0.1,0.9,4,ns3::TcpLinuxReno,2,20108,378,3112,97,97,92,0.92,1,6014.06,80188,430
