n,loss,fth,run,tcp_variant,delack,conv_ack_bytes,conv_ack_packets,qicaaf_confirm_bytes,qicaaf_confirm_packets,data_complete_count,confirmed_count,fidelity,global_confirmed,confirm_time_ms,tcp_data_bytes_fwd,tcp_data_packets_fwd
50,0.05,0.9,13,ns3::TcpLinuxReno,2,8900,167,1608,50,50,48,0.96,1,1014.06,38060,206
50,0.05,0.9,14,ns3::TcpLinuxReno,2,9596,180,1608,50,50,49,0.98,1,3014.06,38848,211
50,0.05,0.9,15,ns3::TcpLinuxReno,2,8760,164,1608,50,50,49,0.98,1,3014.06,38396,212
50,0.05,0.9,16,ns3::TcpLinuxReno,2,8112,152,1608,50,50,48,0.96,1,3014.06,39356,211
50,0.05,0.9,17,ns3::TcpLinuxReno,2,9204,173,1608,50,50,50,1,1,14.0616,36932,204
50,0.05,0.9,18,ns3::TcpLinuxReno,2,10684,201,1544,48,48,45,0.9,1,3014.06,38744,209
50,0.05,0.9,19,ns3::TcpLinuxReno,2,8272,155,1544,48,48,47,0.94,1,1014.06,36884,203
50,0.05,0.9,20,ns3::TcpLinuxReno,2,9168,172,1608,50,50,47,0.94,1,3014.06,37552,206
50,0.1,0.9,1,ns3::TcpLinuxReno,2,11016,207,1608,50,50,45,0.9,1,7014.06,41836,219
50,0.1,0.9,2,ns3::TcpLinuxReno,2,9032,169,1576,49,49,40,0.8,0,0,39640,216
50,0.1,0.9,3,ns3::TcpLinuxReno,2,9212,173,1576,49,49,48,0.96,1,3014.06,40996,213
50,0.1,0.9,4,ns3::TcpLinuxReno,2,9748,183,1576,49,49,44,0.88,0,0,38852,211
50,0.1,0.9,5,ns3::TcpLinuxReno,2,10516,198,1544,48,48,43,0.86,0,0,37052,206
50,0.1,0.9,6,ns3::TcpLinuxReno,2,9284,174,1480,46,46,43,0.86,0,0,40048,214
50,0.1,0.9,7,ns3::TcpLinuxReno,2,9520,179,1608,50,50,45,0.9,1,7014.06,40484,213
50,0.1,0.9,8,ns3::TcpLinuxReno,2,10364,195,1576,49,49,44,0.88,0,0,37836,211
50,0.1,0.9,9,ns3::TcpLinuxReno,2,9764,183,1608,50,50,41,0.82,0,0,40200,217
50,0.1,0.9,10,ns3::TcpLinuxReno,2,10216,191,1480,46,46,41,0.82,0,0,38524,214
50,0.1,0.9,11,ns3::TcpLinuxReno,2,10508,198,1608,50,50,47,0.94,1,3014.06,39920,212
50,0.1,0.9,12,ns3::TcpLinuxReno,2,10000,188,1608,50,50,44,0.88,0,0,39128,216
50,0.1,0.9,13,ns3::TcpLinuxReno,2,10052,189,1544,48,48,45,0.9,1,6014.06,39252,209
50,0.1,0.9,14,ns3::TcpLinuxReno,2,10640,200,1608,50,50,46,0.92,1,6014.06,40368,220
50,0.1,0.9,15,ns3::TcpLinuxReno,2,8764,164,1544,48,48,46,0.92,1,3014.06,37840,211
50,0.1,0.9,16,ns3::TcpLinuxReno,2,9332,175,1608,50,50,47,0.94,1,3014.06,41384,220
50,0.1,0.9,17,ns3::TcpLinuxReno,2,10208,192,1576,49,49,47,0.94,1,3014.06,39924,212
50,0.1,0.9,18,ns3::TcpLinuxReno,2,10524,198,1544,48,48,43,0.86,0,0,42804,218
50,0.1,0.9,19,ns3::TcpLinuxReno,2,9216,173,1512,47,47,44,0.88,0,0,38240,209
50,0.1,0.9,20,ns3::TcpLinuxReno,2,10292,193,1576,49,49,44,0.88,0,0,38964,213
100,0.01,0.9,1,ns3::TcpLinuxReno,2,16052,301,3208,100,100,98,0.98,1,14.0616,73020,402
100,0.01,0.9,2,ns3::TcpLinuxReno,2,16848,316,3208,100,100,100,1,1,14.0616,73640,404
100,0.01,0.9,3,ns3::TcpLinuxReno,2,16648,312,3208,100,100,98,0.98,1,14.0616,73244,406
100,0.01,0.9,4,ns3::TcpLinuxReno,2,16988,319,3208,100,100,99,0.99,1,14.0616,72456,401
100,0.01,0.9,5,ns3::TcpLinuxReno,2,17064,320,3208,100,100,100,1,1,14.0616,74428,409
100,0.01,0.9,6,ns3::TcpLinuxReno,2,16416,308,3208,100,100,99,0.99,1,14.0616,72964,401
100,0.01,0.9,7,ns3::TcpLinuxReno,2,17272,324,3208,100,100,99,0.99,1,14.0616,74260,406
100,0.01,0.9,8,ns3::TcpLinuxReno,2,16936,318,3208,100,100,100,1,1,14.0616,73528,402
100,0.01,0.9,9,ns3::TcpLinuxReno,2,16000,300,3208,100,100,99,0.99,1,14.0616,72456,401
100,0.01,0.9,10,ns3::TcpLinuxReno,2,16744,314,3208,100,100,99,0.99,1,14.0616,72568,403
100,0.01,0.9,11,ns3::TcpLinuxReno,2,17264,324,3208,100,100,99,0.99,1,14.0616,72568,403
100,0.01,0.9,12,ns3::TcpLinuxReno,2,16216,304,3208,100,100,99,0.99,1,14.0616,72456,401
100,0.01,0.9,13,ns3::TcpLinuxReno,2,16528,310,3208,100,100,99,0.99,1,14.0616,74712,405
100,0.01,0.9,14,ns3::TcpLinuxReno,2,16424,308,3208,100,100,97,0.97,1,14.0616,73076,403
100,0.01,0.9,15,ns3::TcpLinuxReno,2,16112,302,3208,100,100,100,1,1,14.0616,72456,401
100,0.01,0.9,16,ns3::TcpLinuxReno,2,16312,306,3208,100,100,100,1,1,14.0616,73020,402
100,0.01,0.9,17,ns3::TcpLinuxReno,2,16312,306,3208,100,100,98,0.98,1,14.0616,72400,400
100,0.01,0.9,18,ns3::TcpLinuxReno,2,16312,306,3208,100,100,100,1,1,14.0616,72964,401
100,0.01,0.9,19,ns3::TcpLinuxReno,2,17272,324,3208,100,100,99,0.99,1,14.0616,73132,404
100,0.01,0.9,20,ns3::TcpLinuxReno,2,16788,315,3208,100,100,100,1,1,14.0616,74204,405
100,0.05,0.9,1,ns3::TcpLinuxReno,2,17848,335,3208,100,100,90,0.9,1,6014.06,76120,412
